"Device Name","Status","5K Pricing","Program Memory Size (Kbytes)","RAM (bytes)","EEPROM / HEF","Pin count","Max. CPU Speed MHz","Peripheral Pin Select (PPS)","Internal Oscillator","# of Comparators","Operational Amplifier","Total # of A/D channels","Max A/D Resolution (bits)","ADCC with Computation","Number of D/A Converters","Max D/A Resolution (bits)","Internal Voltage Reference (Bandgap)","Zero Cross detect","Slope Compensation / Programmable Ramp Generator","Data Signal Modulator (DSM)","Max 8 Bit Digital Timers","Max 16 Bit Digital Timers","Signal Measurement Timer","Hardware Limit Timer","Max # PWM outputs (including complementary outputs)","Max PWM Resolution (bits)","Angular Timer","Math Accelerator","UART","SPI?","I2C","Number of USB Modules","Windowed Watchdog Timer (WWDT)","CRC/Scan","Configurable Logic Cell Modules (CLC)","Complementary Waveform Generator (CWG) / Complementary Output Generator (COG)","Numerically Controlled Oscillator (NCO)","Programmable switched mode controller","Cap. Touch Channels","Segment LCD","Temp. Range Min.","Temp. Range Max.","Operation Voltage Min.(V)","Operation Voltage Max.(V)","High Voltage Capable","Packages"
PIC16F1704,"In Production","$0.87","7","512"," 0 / HEF","14","32","Yes","32 MHz, 32 kHz","2","2","8","10","No","1","8","Yes","Yes","0","0","4","1","0","0","8","10","No","No","1","1","1","0","No","No","3","1","0","0","8","0"," -40","125","1.8","5.5","No"," 14/PDIP,14/SOIC,14/TSSOP,16/QFN"
PIC16F1507,"In Production","$0.88","3.5","128"," 0 / HEF","20","20","No","16 MHz, 32 kHz","0","0","12","10","No","1","5","Yes","No","0","0","2","1","0","0","5","10","No","No","0","0","0","0","No","No","2",,"1","0","12","0"," -40","125","1.8","5.5","No"," 20/PDIP,20/QFN,20/SOIC,20/SSOP,20/UQFN"
PIC16F15354,"In Production","$0.88","7","512"," 0 / HEF","28","32","Yes","32 MHz, 32 kHz","2","0","24","10","No","1","5","No","Yes","0","0","1","2","0","1","10","10","No","No","2","2","2","0","Yes","No","4","1","1","0","0","0"," -40","125","1.8","5.5","No"," 28/QFN,28/SOIC,28/SPDIP,28/SSOP,28/UQFN,28/VQFN"
PIC18F27Q10,"In Production","$0.89","128","3615","1024","28","64","Yes","64MHZ, 64KHz","2","0","24","10","Yes","1","5","Yes","Yes","0","1","3","4","0","1","0","10","No","No","2","2","2","0","No","Yes","8","1","0","0","24","0"," -40","125","1.8","5.5","No"," 28/QFN,28/SOIC,28/SPDIP,28/SSOP,28/VQFN"
PIC12F629," In Production,Please consider device: PIC16F18313","$0.91","1.75","64","128","8","20","No","4 MHz","1","0","0","0","No","0","0","No","No","0","0","1","1","0","0","0","0","No","No","0","0","0","0","No","No","0","0","0","0","0","0"," -40","125","2","5.5","No"," 8/DFN,8/DFN-S,8/PDIP,8/SOIC"
PIC16F1578,"In Production","$0.91","7","512"," 0 / HEF","20","32","Yes","32 MHz, 32 kHz","2","0","12","10","No","1","5","Yes","No","0","0","2","9","0","0","6","16","No","No","1","0","0","0","No","No","0",,"0","0","12","0"," -40","125","1.8","5.5","No"," 20/PDIP,20/SOIC,20/SSOP,20/UQFN"
PIC16F1614,"In Production","$0.91","7","512"," 0 / HEF","14","32","Yes","32 MHz, 32 kHz","2","0","8","10","No","1","8","Yes","Yes","0","0","4","3","2","3","8","10","Yes","Yes","1","1","1","0","Yes","Yes","2","1","0","0","8","0"," -40","125","1.8","5.5","No"," 14/PDIP,14/SOIC,14/TSSOP,16/QFN"
PIC12HV615,"In Production","$0.92","1.75","64","0","8","20","No","4 MHz, 8 MHz","1","0","4","10","No","0","0","Yes","No","0","0","2","1","0","0","0","10","No","No","0","0","0","0","No","No","0","0","0","0","4","0"," -40","125","2","15","Yes"," 8/SOIC"
PIC16F1575,"In Production","$0.92","14","1024"," 0 / HEF","14","32","Yes","32 MHz, 32 kHz","2","0","8","10","No","1","5","Yes","No","0","0","2","9","0","0","6","16","No","No","1","0","0","0","No","No","0",,"0","0","8","0"," -40","125","1.8","5.5","No"," 14/PDIP,14/SOIC,14/TSSOP,16/UQFN"
PIC16F720,"In Production","$0.92","3.5","128"," 0 / HEF","20","16","No","16 MHz","0","0","12","8","No","0","0","Yes","No","0","0","2","1","0","0","0","10","No","No","0","1","1","0","No","No","0","0","0","0","12","0"," -40","125","1.8","5.5","No"," 20/PDIP,20/QFN,20/SOIC,20/SSOP"
